id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
168.0,14.202,0.074,1.0,0.321299,14.014,0.075,13.973,0.057,,,,,15.146,0.164,15.516,0.242
169.0,13.795,0.023,1.0,0.319116,13.72,0.055,13.603,0.039,13.737,0.031,13.995,0.068,14.643,0.077,14.922,0.110
184.0,13.779,0.032,1.0,0.30337,13.614,0.025,13.539,0.018,,,,,14.663,0.080,14.976,0.100
185.0,13.694,0.029,1.0,0.3332,13.548,0.078,13.504,0.030,13.498,0.028,13.475,0.025,,,,
261.0,13.434,0.012,1.0,0.402512,13.174,0.064,13.126,0.064,,,,,14.562,0.035,15.024,0.056
263.0,13.018,0.139,0.0,1.012158,12.953,0.321,12.692,0.228,,,,,14.306,0.076,14.885,0.105
264.0,13.874,0.055,1.0,0.321398,13.598,0.143,13.614,0.036,13.389,0.106,13.088,0.029,14.753,0.149,15.11,0.207
265.0,13.509,0.056,1.0,0.4226,13.348,0.048,13.236,0.034,,,,,14.465,0.097,14.874,0.149
266.0,13.472,0.044,1.0,0.35230300000000003,13.106,0.160,13.165,0.043,,,,,14.512,0.065,14.784,0.034
267.0,13.432,0.061,1.0,0.315822,12.93,0.112,12.984,0.140,,,,,14.49,0.085,14.843,0.129
268.0,13.067,0.116,0.0,0.812922,12.405,0.092,12.523,0.137,,,,,14.554,0.148,14.977,0.203
270.0,13.649,0.047,1.0,0.312714,13.44,0.066,13.474,0.035,,,,,14.549,0.068,14.857,0.084
271.0,13.119,0.057,1.0,0.4432,12.621,0.058,12.663,0.128,12.882,0.031,12.943,0.180,14.365,0.137,14.837,0.188
272.0,13.829,0.049,1.0,0.31148200000000004,13.642,0.056,13.591,0.037,,,,,14.666,0.060,14.983,0.072
273.0,13.588,0.071,1.0,0.367106,13.318,0.154,13.37,0.041,,,,,14.549,0.093,14.955,0.118
274.0,13.83,0.036,1.0,0.311089,13.718,0.041,13.621,0.049,,,,,14.58,0.079,,
275.0,13.496,0.027,1.0,0.3776,13.288,0.070,13.185,0.067,,,,,14.457,0.025,14.865,0.091
276.0,13.729,0.023,1.0,0.307807,13.622,0.036,13.524,0.020,,,,,14.595,0.072,14.902,0.077
277.0,13.613,0.040,1.0,0.351563,13.391,0.056,13.365,0.035,14.132,0.043,13.205,0.054,14.507,0.031,14.881,0.030
280.0,13.946,0.026,1.0,0.281644,13.872,0.054,13.794,0.035,,,,,14.76,0.042,15.02,0.057
285.0,13.687,0.028,1.0,0.329014,13.484,0.028,13.501,0.034,,,,,14.54,0.068,14.888,0.099
288.0,13.809,0.031,1.0,0.2954,13.659,0.021,13.58,0.019,,,,,,,,
289.0,13.735,0.028,1.0,0.30809000000000003,13.582,0.018,13.525,0.013,,,,,14.628,0.089,14.918,0.118
291.0,13.685,0.035,1.0,0.33399999999999996,13.502,0.072,13.461,0.027,,,,,14.502,0.035,14.882,0.039
339.0,13.719,0.058,1.0,0.301322,13.46,0.036,13.473,0.040,13.304,0.024,13.238,0.008,,,14.868,0.055
340.0,13.5,0.055,1.0,0.301821,13.18,0.080,13.192,0.073,,,,,14.557,0.050,16.801,0.229
341.0,13.729,0.063,1.0,0.306136,13.292,0.206,13.401,0.073,12.774,0.158,13.183,0.072,14.459,0.091,14.824,0.128
342.0,13.675,0.050,1.0,0.30838899999999997,13.391,0.073,13.433,0.024,13.546,0.014,13.393,0.026,14.602,0.079,14.935,0.084
343.0,13.631,0.072,1.0,0.310211,13.413,0.127,13.46,0.050,,,,,14.567,0.094,14.951,0.144
344.0,13.795,0.028,1.0,0.313764,13.7,0.049,13.629,0.037,,,,,14.607,0.029,14.936,0.036
346.0,13.681,0.039,1.0,0.327623,12.261,0.240,13.444,0.110,,,,,14.506,0.134,14.859,0.164
347.0,,,1.0,0.328849,,,,,12.126,0.013,12.508,0.116,14.492,0.160,14.866,0.228
349.0,13.771,0.089,1.0,0.3642,,,,,,,,,,,14.802,0.145
350.0,13.208,0.028,1.0,0.379108,12.807,0.106,12.797,0.062,,,,,14.493,0.149,14.873,0.192
352.0,13.365,0.118,1.0,0.397544,11.853,0.353,12.745,0.122,,,,,14.188,0.104,14.477,0.140
353.0,13.62,0.102,1.0,0.40102,1.519,15.978,12.2,0.576,,,,,14.487,0.144,14.781,0.181
354.0,13.506,0.064,1.0,0.41993400000000003,13.258,0.042,13.229,0.063,,,,,14.547,0.146,14.97,0.207
357.0,13.691,0.025,1.0,0.297775,13.49,0.036,13.526,0.088,13.463,0.017,13.371,0.006,14.563,0.017,14.903,0.017
366.0,12.718,0.279,0.0,0.9999100000000001,12.114,0.346,12.294,0.108,12.238,0.071,12.151,0.153,,,14.934,0.699
399.0,13.67,0.024,1.0,0.309782,13.473,0.056,13.494,0.032,13.524,0.057,13.433,0.037,14.58,0.015,14.848,0.017
