id,type,per,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4,photfeh,photfeh_err,spectfeh,spectfeh_err
261.0,1.0,0.402512,13.4310366003,0.00893028554975,13.2118818657,0.0185853885261,13.1130936646,0.0197336430156,,,,,,,,,,,,-1.5,0.35
263.0,0.0,1.012158,13.1551337589,0.0165504279904,12.8882031599,0.0169656515741,12.7459546946,0.0157347810068,,,12.6597502071,0.0337021265402,,,,,,,,-1.73,0.19
265.0,,,,,,,,,,,,,,,,,,,,-2.0,0.29
267.0,,,,,,,,,,,,,,,,,,,,-1.62,0.63
268.0,,,,,,,,,,,,,,,,,,,,-1.76,0.24
271.0,,,,,,,,,,,,,,,,,,,,-1.8,0.21
274.0,1.0,0.311089,13.8283157862,0.0107199191539,13.7577309203,0.0227779132787,13.6495587085,0.0221585198062,,,,,,,,,,,,,
275.0,,,,,,,,,,,,,,,,,,,,-1.66,0.36
276.0,1.0,0.307807,13.7266554647,0.0206821178799,13.613677865,0.0460190178079,13.5333865679,0.024366985862,,,,,,,,,,,,,
280.0,1.0,0.281644,13.9513143848,0.0117082591931,13.9052718321,0.0260224262256,13.8162529862,0.0292318319645,,,,,,,,,,,,,
285.0,1.0,0.329014,13.6865858721,0.016975472502,13.5036497986,0.026815729215,13.5029389246,0.0151189726282,,,13.3578232368,0.0739932429347,,,,,,,,,
288.0,1.0,0.2954,13.8094025618,0.0109772492001,13.7192992835,0.0156071564781,13.6348300698,0.0194100489438,,,,,,,,,,,,,
289.0,1.0,0.30809,13.7429520206,0.0133041346957,13.6179900851,0.0149582753017,13.5836296786,0.0216814052435,,,,,,,,,,,,,
291.0,1.0,0.334,13.6743941371,0.0183779759495,13.5176990747,0.0444719012411,13.4442272825,0.0262979720384,,,,,,,,,,,,,
341.0,,,,,,,,,,,,,,,,,,,,-1.78,0.59
342.0,,,,,,,,,,,,,,,,,,,,-1.71,0.55
344.0,,,,,,,,,,,,,,,,,,,,-1.52,0.54
346.0,,,,,,,,,,,,,,,,,,,,-1.66,0.27
350.0,,,,,,,,,,,,,,,,,,,,-1.45,0.4
353.0,,,,,,,,,,,,,,,,,,,,-1.93,0.31
354.0,,,,,,,,,,,,,,,,,,,,-1.73,0.23
357.0,1.0,0.297775,13.6923752668,0.0270585784303,13.4681064125,0.0635419808735,13.4675977833,0.0446299600418,13.4621636936,0.0438149517859,13.3749329804,0.040556544889,0.151373710956,0.22253280039,0.164924012997,0.12040298697,0.203660373257,,,-1.64,0.99
366.0,,,,,,,,,,,,,,,,,,,,-1.61,0.14
399.0,,,,,,,,,,,,,,,,,,,,-1.7,0.67
